,cut_off,n_connected_sources,n_singleton_source,n_cluster_nodes,n_targets,n_households,n_household_targets,R,R_low,R_high,R_h,R_h_low,R_h_high,ratio,r_range,r_h_range
0,2020-02-24,82,9,9,74,11,15,0.9024390243902439,0.8131868131868132,1.0121951219512195,0.18292682926829268,0.09924747433332365,0.2666061842032617,0.2027027027027027,0.90 (0.81-1.01),0.18 (0.10-0.27)
1,2020-02-25,82,9,9,74,11,15,0.9024390243902439,0.8131868131868132,1.0121951219512195,0.18292682926829268,0.09924747433332365,0.2666061842032617,0.2027027027027027,0.90 (0.81-1.01),0.18 (0.10-0.27)
2,2020-02-26,84,10,11,130,18,24,1.5476190476190477,1.3829787234042554,1.6666666666666667,0.2857142857142857,0.1891051074063561,0.3823234640222153,0.1846153846153846,1.55 (1.38-1.67),0.29 (0.19-0.38)
3,2020-02-27,87,10,11,131,18,24,1.5057471264367817,1.3505154639175259,1.6206896551724137,0.27586206896551724,0.1819431493649575,0.369780988566077,0.183206106870229,1.51 (1.35-1.62),0.28 (0.18-0.37)
4,2020-02-28,90,10,11,131,18,24,1.4555555555555555,1.31,1.5666666666666667,0.26666666666666666,0.1753037625594001,0.3580295707739332,0.183206106870229,1.46 (1.31-1.57),0.27 (0.18-0.36)
5,2020-02-29,92,10,11,132,18,24,1.434782608695652,1.2941176470588236,1.5434782608695652,0.2608695652173913,0.17114023880872525,0.35059889162605734,0.18181818181818182,1.43 (1.29-1.54),0.26 (0.17-0.35)
6,2020-03-01,97,10,11,133,18,24,1.3711340206185567,1.2429906542056075,1.4742268041237114,0.24742268041237114,0.16154792346617422,0.3332974373585681,0.1804511278195489,1.37 (1.24-1.47),0.25 (0.16-0.33)
7,2020-03-02,100,10,11,134,18,24,1.34,1.2181818181818183,1.44,0.24,0.1562917065040745,0.32370829349592545,0.1791044776119403,1.34 (1.22-1.44),0.24 (0.16-0.32)
8,2020-03-03,100,11,11,134,18,24,1.34,1.2072072072072073,1.45,0.24,0.1562917065040745,0.32370829349592545,0.1791044776119403,1.34 (1.21-1.45),0.24 (0.16-0.32)
9,2020-03-04,102,12,11,134,18,24,1.3137254901960784,1.1754385964912282,1.4313725490196079,0.23529411764705882,0.15297347807652845,0.3176147572175892,0.1791044776119403,1.31 (1.18-1.43),0.24 (0.15-0.32)
