,Place,Date enacted,Date lifted
0,Alabama,2020-04-04,2020-04-30
1,Colorado,2020-03-26,2020-04-26
2,Florida,2020-04-03,2020-05-04
3,Georgia,2020-04-03,2020-04-30
4,Idaho,2020-03-25,2020-04-30
5,Indiana,2020-03-25,2020-05-01
7,Maine,2020-04-02,2020-04-30
8,Mississippi,2020-04-03,2020-04-27
9,Missouri,2020-04-06,2020-05-03
10,Montana,2020-03-28,2020-04-26
11,South Carolina,2020-04-07,2020-05-04
12,Tennessee,2020-03-31,2020-04-30
13,Texas,2020-04-02,2020-04-30
14,West Virginia,2020-03-23,2020-05-04
15,Wisconsin,2020-03-25,2020-05-13
16,New York,2020-03-22,
1,Alaska,2020-03-28,
2,American Samoa,,
3,Arizona,2020-03-31,
4,Arkansas,,
5,California,2020-03-19,
7,Connecticut,2020-03-23,
8,Delaware,2020-03-24,
9,District of Columbia,2020-03-30,
12,Guam,,
13,Hawaii,2020-03-25,
15,Illinois,2020-03-21,
17,Iowa,,
19,Kentucky,,
20,Louisiana,2020-03-23,
22,Maryland,2020-03-30,
23,Massachusetts,,
24,Michigan,2020-03-24,
25,Minnesota,2020-03-27,
29,Nebraska,,
30,Nevada,2020-04-01,
31,New Hampshire,2020-03-27,
32,New Jersey,2020-03-21,
33,New Mexico,2020-03-24,
35,North Carolina,2020-03-30,
36,North Dakota,,
37,N. Mariana Islands,,
38,Ohio,2020-03-23,
39,Oklahoma,2020-04-02,
40,Oregon,2020-03-23,
41,Pennsylvania,2020-04-01,
42,Puerto Rico,2020-03-15,
43,Rhode Island,2020-03-28,
45,South Dakota,,
48,Utah,,
49,U.S. Virgin Islands,2020-03-25,
50,Vermont,2020-03-25,
51,Virginia,2020-03-30,
52,Washington,2020-03-23,
55,Wyoming,,



